"track","iteration","area","problem","hypothesis","action","status","validation","result","next_step","owner","last_updated"
"normalize-mainline","I001","strategy","翻译层之前对非正文块写了太多 if，主线被噪音干扰","保留排版翻译的前提下，先只处理正文，非正文先留在 document.v1，不进入翻译主链","统一新主线：正文优先，非正文不作为当前翻译候选","done","已完成主线方向确认，并据此调整后续实现","策略已固定：先把正文做稳，再逐步补非正文语义","继续把过滤前移到抽取层和 normalize 层","wxyhgk","2026-04-16"
"normalize-mainline","I002","translation-extractor","caption/header/footnote 进入翻译 payload，迫使 policy 层继续分流","如果 extract_text_items 只输出 body/abstract/heading，就能减少大量翻译层条件分支","修改 translation/ocr/json_extractor.py，仅抽取 primary body-like text blocks","done","pytest devtools/tests/translation/test_provider_continuation.py -q；pytest devtools/tests/translation/test_book_translation_policies.py -q","已验证正文和 heading 继续进入翻译，caption/header 不再进入翻译 items","继续观察是否仍有 ref_text 类异常正文被过早过滤","wxyhgk","2026-04-16"
"normalize-mainline","I003","translation-policy","默认翻译策略过去默认放开 text，靠后续 heuristics 再拦截，状态复杂","把默认策略改成结构白名单，只放正文系 text，可显著减少后续 mixed/metadata 干预","修改 payload/translations.py 与 payload/parts/policy_mutations.py，默认只放行 body/abstract/heading；title/table/code/image 默认跳过","done","pytest devtools/tests/translation/test_book_translation_policies.py -q；pytest devtools/tests/translation/test_translation_fast_paths.py -q","新模板和旧模板 reset 后都统一走正文白名单","继续清理已不再必要的 metadata/mixed 规则","wxyhgk","2026-04-16"
"normalize-mainline","I004","ref-text-exception","某些 OCR 打坏的正文段会以 ref_text 形态出现，若最前面就 skip_text 会误杀","ref_text 需要先保留进入 ref_text 专项判断，再决定是真参考文献还是正文误伤","把 ref_text 提升为基础层特例，不在 default flags 阶段直接跳过","done","pytest devtools/tests/translation/test_book_translation_policies.py -q","编号型正文摘要仍可保留翻译，真正参考文献仍会 skip","后续考虑把 ref_text 的语义来源进一步前移到 normalize","wxyhgk","2026-04-16"
"normalize-mainline","I005","paddle-normalize","Paddle 原始块过粗，跨栏吸收后即使修正文案，document.v1 行密度仍偏粗，影响后续链路","若在 Paddle adapter 内重建 pseudo-lines，并在正文子类型上收紧 bbox，可让 document.v1 更接近真实正文密度","在 provider_adapters/paddle/content_extract.py 上重建正文 pseudo-lines，并对 body/abstract/heading 启用 tighten_text_bbox","done","对 job 20260416111348-9141bd 检查 document.v1 行密度；相关 adapter 测试已补","page 1 问题块的每行高度已收敛到约 12pt，明显接近 MinerU 风格","继续用更多双栏书和表格页验证 normalize 稳定性","wxyhgk","2026-04-16"
"normalize-mainline","I006","paddle-cross-column","Paddle 会把跨栏正文吸到单个 block，另一侧只剩空 bbox，渲染和翻译都会错位","应在 normalize 前段先修复正文 block_content 的归属，而不是到渲染前再补锅","实现 body_repair.py，对双栏正文页的 absorber/peer 做文本拆分回填","doing","现有 page_spec 定向测试已通过；实书仍需扩大回归","第一页等局部页面已改善，但整书还要继续试错","继续围绕真实 PDF 扩充失败样本，并把结论追加到本 CSV","wxyhgk","2026-04-16"
"normalize-mainline","I007","document-v1-contract","我们当前最缺的是稳定试错台账，问题会反复出现却没有沉淀","把 2026-04-16 当天的试错记录收进 doc/260416.csv，可作为持续迭代索引","建立 doc/260416.csv 并登记每轮问题/假设/动作/验证/结果","done","文件已创建并纳入 doc/README.md 入口","今日试错开始沉淀到统一 CSV，不再散落在聊天和临时备注里","后续每轮继续追加新 iteration，不覆盖旧记录","wxyhgk","2026-04-16"
"normalize-mainline","I008","body-only-regression","正文优先抽取改完后，空 sub_type 的规范化正文块会被误杀，且 regression_check 仍沿用旧的 caption 抽取预期","正文抽取应兼容空 sub_type 的普通 text block；body-only 主线下 regression_check 也必须改成只要求 heading 保留、caption/footnote 不进入抽取","在 json_extractor.py 补空 sub_type body fallback，并同步修正 regression_check.py 的 extractor 预期","done","pytest devtools/tests/translation/test_provider_continuation.py -q；pytest devtools/tests/translation/test_book_translation_policies.py -q；代码审查 extract_text_items 使用点","空 sub_type 的规范化正文块已重新进入抽取；旧的 caption/footnote extractor 预期已收口，不再误报","继续沿使用点巡检 extract_text_items 的旧假设，发现一处改一处","wxyhgk","2026-04-16"
"normalize-mainline","I009","verification-chain","document_schema/regression_check.py 的 fixture registry 写死了失效的相对路径，导致整条回归验证链无法运行","若把 registry 改成基于仓库根目录的稳定路径，并指向当前仓库里真实存在的样本，完整回归链就能恢复","修正 fixtures/registry.py：统一使用 REPO_ROOT 绝对路径，替换失效的 MinerU job 路径，并收口 generic/paddle fixture 路径","done","python3 backend/scripts/devtools/tests/document_schema/regression_check.py --new-document data/jobs/20260416111348-9141bd/ocr/normalized/document.v1.json","完整 regression_check 已跑通，`paddle_extractor_roles` 结果与 body-only 主线一致","后续若 fixture 目录再迁移，需要继续把 registry 保持在仓库内可解析路径，不再依赖历史 output 目录","wxyhgk","2026-04-16"
"normalize-mainline","I010","paddle-cross-column","仅靠单测不足以证明 body repair 在真实书上已命中，需要回到问题样本确认实际拆分结果","若真实样本页 metadata 中出现 body_repair_pair_count>0，且 absorber/peer 文本已分开，就说明 normalize 主线至少在该页落地生效","检查 job 20260416111348-9141bd 的 page 1 normalized metadata 与 repaired blocks","done","读取 data/jobs/20260416111348-9141bd/ocr/normalized/document.v1.json 第 1 页 metadata 与 block metadata","page 1 已命中 1 组 body repair；`p001-b0014` 为 absorber，`p001-b0015` 为 peer，文本已拆开","继续把同类真实样本扩大到更多页和更多 PDF，确认不是单页偶然命中","wxyhgk","2026-04-16"
