id,area,status,priority,task,goal,files,verify,notes
M01,rust-stage,done,P0,统一 Rust job stage 映射,"把 queued/running/OCR/translation/render/terminal 阶段收敛到 JobStage，减少字符串散落","backend/rust_api/src/models/job/stage.rs;backend/rust_api/src/models.rs;backend/rust_api/src/job_runner/**;backend/rust_api/src/services/jobs/presentation/**","cargo test --manifest-path backend/rust_api/Cargo.toml translation_flow_support --quiet","已完成第一轮，后续继续逐步替换剩余直接字符串。"
M02,rust-artifacts,done,P0,拆出 JobArtifacts 只读视图,"保留 API JSON 兼容，同时提供 OCR checkpoint、translation outputs、render outputs 三类视图","backend/rust_api/src/models/job/artifacts.rs;backend/rust_api/src/job_runner/translation_flow.rs;backend/rust_api/src/job_runner/render_flow.rs;backend/rust_api/src/job_runner/process_runner/completion.rs","cargo test --manifest-path backend/rust_api/Cargo.toml copy_ocr_checkpoint_preserves_parent_trace_and_copies_ocr_outputs --quiet","已完成第一轮，后续继续迁移 services/routes 中的直接字段读取。"
M03,rust-stdout,done,P0,收敛 stdout parser 到事件流优先,"把文本 stdout label 解析降级为兼容兜底，优先消费 pipeline events/jsonl 和稳定 artifact 事件","backend/rust_api/src/job_runner/stdout_parser/**;backend/rust_api/src/job_events.rs;backend/scripts/services/pipeline_shared/events.py","cargo test --manifest-path backend/rust_api/Cargo.toml apply_line_ --quiet; cargo test --manifest-path backend/rust_api/Cargo.toml derive_events_ --quiet","已完成 stage/artifact 解析接入 JobStage 的第一轮；文本 label 仍保留为兼容兜底。"
M04,rust-pipeline,done,P0,收敛 pipeline 执行入口,"把 OCR->翻译->渲染从散落流程改成 PipelinePlan/StageExecutor 边界，减少 translation_flow 继续膨胀","backend/rust_api/src/job_runner/pipeline_plan.rs;backend/rust_api/src/job_runner/translation_flow.rs;backend/rust_api/src/job_runner/translation_flow_executor.rs;backend/rust_api/src/job_runner/translation_flow_stage.rs","cargo test --manifest-path backend/rust_api/Cargo.toml pipeline_plan --quiet; cargo test --manifest-path backend/rust_api/Cargo.toml translate_only_plan_has_no_stage_after_translation --quiet","已新增 translation_flow_executor，主流程不再直接处理翻译后的阶段分支。"
M05,rust-command-spec,done,P0,统一 Rust 写 spec 与 Python 读 spec 的契约,"新增参数只能进 stage spec，不能再靠命令行散传；跨语言 contract 有测试","backend/rust_api/src/services/job_command_factory/**;backend/scripts/foundation/shared/stage_specs.py;backend/scripts/devtools/check_stage_specs_contract.py;backend/scripts/devtools/check_pipeline_architecture.py","python3 backend/scripts/devtools/check_stage_specs_contract.py data/jobs; python3 backend/scripts/devtools/check_pipeline_architecture.py","已把 stage spec contract checker 纳入架构检查，防止脚本被误删或缺 loader 覆盖。"
M06,python-entrypoints,done,P0,收口 Python 翻译入口,"translate-only 和 from-ocr 都走 workflow facade，入口只组装 request","backend/scripts/services/translation/workflow/book_facade.py;backend/scripts/services/translation/from_ocr_pipeline.py;backend/scripts/services/translation/translate_only_pipeline.py","python3 -m py_compile backend/scripts/services/translation/workflow/book_facade.py backend/scripts/services/translation/from_ocr_pipeline.py backend/scripts/services/translation/translate_only_pipeline.py","已完成第一轮。"
M07,python-workflow,done,P0,拆 Python workflow/context/policy 边界,"翻译上下文、策略、执行器分层，后续上下文记忆不再塞入口参数","backend/scripts/services/translation/workflow/**;backend/scripts/services/translation/context/**;backend/scripts/services/translation/policy/**;backend/scripts/runtime/pipeline/translation_stage.py","python3 -m compileall -q backend/scripts/services/translation backend/scripts/runtime/pipeline/translation_stage.py; python3 backend/scripts/devtools/check_pipeline_architecture.py","已新增 workflow/execution.py，runtime translation_stage 只调用 workflow facade，不再直接 import policy/context/diagnostics/book_translation_flow。"
M08,python-render,done,P1,拆渲染 redaction/layout/text overlay 边界,"让删除策略、背景处理、Typst overlay、字体适配各自有明确输入输出","backend/scripts/services/rendering/redaction/**;backend/scripts/services/rendering/typst/**;backend/scripts/services/rendering/source_pdf.py;backend/scripts/runtime/pipeline/render_stage.py","python3 -m compileall -q backend/scripts/services/rendering backend/scripts/runtime/pipeline/render_stage.py; python3 backend/scripts/devtools/check_pipeline_architecture.py","已先把源 PDF 预处理从 runtime pipeline 移到 services.rendering.source_pdf，并在架构检查中固定边界。"
M09,python-ocr,done,P1,统一 OCR provider 交接协议,"Paddle/MinerU/provider normalize 只输出 document.v1，不让 provider 私有字段渗透到翻译和渲染","backend/scripts/services/ocr_provider/**;backend/scripts/services/document_schema/**;backend/scripts/devtools/check_pipeline_architecture.py","python3 backend/scripts/devtools/check_pipeline_architecture.py","已补架构检查：入口必须通过 provider_pipeline 走 MinerU handoff，runtime/translation/rendering 不能消费 provider raw。"
M10,frontend-status,done,P1,收敛前端状态展示契约,"前端只消费后端阶段契约和事件摘要，不硬猜 OCR/翻译/渲染状态","frontend/src/js/job-stage-contract.js;frontend/src/js/job-stage-presentation.js;frontend/src/js/job-status-summary.js;frontend/src/js/components/status/**","node --check frontend/src/js/job-stage-contract.js; node --check frontend/src/js/job-status-summary.js; node frontend/scripts/status-presentation-smoke.mjs; npm --prefix desktop run sync-frontend","已新增 job-stage-contract.js 集中后端 stage 到用户阶段的映射，桌面端已同步。"
M11,desktop-sync,done,P1,固定 Web 前端到桌面端同步边界,"所有前端源码改动必须用统一脚本同步 Electron 前端，避免桌面端滞后","desktop/scripts/**;desktop/package.json;frontend/**","npm --prefix desktop run sync-frontend; npm --prefix desktop run smoke:frontend-bundle","已有 sync-frontend/verify-frontend-sync/smoke:frontend-bundle，当前前端改动已同步并通过 bundle smoke。"
M12,docs-contract,done,P2,文档只写稳定边界,"doc 中保留少量入口，描述 API/stage/artifact 真实契约，不写临时实现细节","doc/core/**;backend/README.md;task_decoupling_master.csv","python3 backend/scripts/devtools/check_pipeline_architecture.py","已在 backend/README.md 补当前稳定边界和总拆分表入口。"
