"track","stage","task_id","task","goal","status","owner","priority","depends_on","done_definition","affected_readme","completion_notes","last_updated"
"decoupling","phase-1-contracts","DEC-001","定义 OCR、翻译、渲染阶段边界","明确三段各自输入、输出、错误与产物边界，避免后续在调用层继续混写职责","done","wxyhgk","P0","","runtime pipeline README 写清阶段边界；translation/rendering/document_schema README 与实际入口一致","backend/scripts/runtime/pipeline/README.md; backend/scripts/services/translation/README.md; backend/scripts/services/rendering/README.md; backend/scripts/services/document_schema/README.md","已补 OCR/Normalize、Translation、Rendering 三段契约；明确 document.v1.json 是 OCR 到下游的稳定交接点，翻译阶段只产出翻译 payload，渲染阶段只消费 source PDF 与翻译产物。","2026-04-11"
"decoupling","phase-1-contracts","DEC-002","定义翻译产物 manifest 协议","替代渲染阶段对 page-*-deepseek.json 的固定文件名依赖，使渲染只消费稳定产物协议","done","wxyhgk","P0","DEC-001","manifest 字段、生成位置、读取 fallback 和 README 说明完成；旧 page JSON 兼容策略明确","backend/scripts/services/translation/README.md; backend/scripts/services/rendering/README.md; backend/scripts/runtime/pipeline/README.md","已新增 translation-manifest.json；翻译主线自动落盘 manifest，渲染优先读取 manifest，没有 manifest 时回退旧的 page-*-deepseek.json。","2026-04-11"
"decoupling","phase-1-contracts","DEC-003","定义 Render-only 输入协议","明确只渲染时需要 source PDF、translation manifest 或 translations dir，并固定错误提示","done","wxyhgk","P0","DEC-002","render_stage/build_book 入口可按协议读取产物；缺失产物时报错可读；README 已说明","backend/scripts/services/rendering/README.md; backend/scripts/runtime/pipeline/README.md","已新增 render_inputs.py 统一校验 Render-only 输入；build_book/run_render_stage 支持 translation_manifest_path；缺失 source PDF、manifest 或 legacy payload 时统一抛出 Render-only input error。","2026-04-11"
"decoupling","phase-2-runtime-split","DEC-004","增加 Translate workflow 设计与类型","在 Rust API 层补出独立翻译任务类型，不再只能通过完整 MinerU workflow 间接触发翻译","done","wxyhgk","P0","DEC-001","WorkflowKind、请求校验、任务创建和生命周期入口支持 Translate；旧 MinerU workflow 不破坏","doc/rust_api/04-任务生命周期.md","Rust API 已新增 WorkflowKind::Translate；create_job 支持 translate workflow；生命周期会先创建 OCR 子任务，再调用独立 run_translate_only.py，只产出翻译目录与 translation-manifest.json，不再强制进入渲染。","2026-04-11"
"decoupling","phase-2-runtime-split","DEC-005","增加 Render workflow 设计与类型","在 Rust API 层补出独立渲染任务类型，支持基于已有翻译产物重跑渲染","done","wxyhgk","P0","DEC-003,DEC-004","WorkflowKind、请求校验、任务创建和生命周期入口支持 Render；能复用已有 job artifacts","doc/rust_api/04-任务生命周期.md","Rust API 已新增 WorkflowKind::Render；请求通过 source.artifact_job_id 指向已有 job；生命周期会复用 source_pdf 与 translations_dir，调用独立 run_render_only.py 重跑渲染，不再重复 OCR/翻译。","2026-04-11"
"decoupling","phase-2-runtime-split","DEC-006","拆分完整任务编排","保留一键完整任务，但内部显式串联 OCR、Translate、Render，而不是把翻译和渲染藏在同一个 Python 入口里","done","wxyhgk","P1","DEC-004,DEC-005","完整任务仍兼容现有接口；阶段状态、取消、失败归因能分别落到 OCR/Translate/Render","backend/scripts/runtime/pipeline/README.md","完整 mineru workflow 已改为 OCR 子任务 -> run_translate_only.py -> run_render_only.py；Translate-only 成功后再进入 rendering 阶段，失败/取消会停在对应阶段，旧 create_job 入口保持兼容。","2026-04-11"
"decoupling","phase-3-artifact-protocol","DEC-007","统一任务 artifact 记录","把 normalized document、translation manifest、rendered PDF 都登记为可追踪 artifact","done","wxyhgk","P1","DEC-002,DEC-005","任务详情和下载入口能看到三段关键产物；README 说明产物含义和重跑用途","doc/rust_api/06-产物清单与下载.md","artifact manifest 已登记 source_pdf、normalized_document_json、translation_manifest_json、translated_pdf；translation_manifest_json 可通过 artifacts/{artifact_key} 直接下载，render workflow 可基于 translations_dir 复用该协议。","2026-04-11"
"decoupling","phase-3-artifact-protocol","DEC-008","去掉渲染层模型名文件依赖","让渲染 loader 不再硬编码 deepseek 文件名，优先读 manifest，旧目录只作为兼容 fallback","done","wxyhgk","P0","DEC-002","load_translated_pages 支持 manifest；旧 page-*-deepseek.json 仍可渲染；测试覆盖两种路径","backend/scripts/services/rendering/README.md; backend/scripts/runtime/pipeline/README.md","load_translated_pages 已优先读取 translation-manifest.json，并支持显式 manifest path；保留 page-*-deepseek.json 兼容 fallback；新增 manifest/legacy 两条测试路径。","2026-04-11"
"decoupling","phase-4-docs-and-validation","DEC-009","补齐解耦专项回归测试","覆盖 OCR-only、Translate-only、Render-only、完整任务兼容和旧翻译目录 fallback","done","wxyhgk","P1","DEC-004,DEC-005,DEC-008","Python 与 Rust 测试新增并通过；测试说明写入对应 README","backend/scripts/runtime/pipeline/README.md","已补 Python manifest/render input protocol 测试与 Rust command/job snapshot/workflow 测试；覆盖 OCR-only、Translate-only、Render-only、完整任务兼容和 legacy page-*-deepseek.json fallback；Python 定向测试 8 passed，Rust 76 passed。","2026-04-11"
"decoupling","phase-4-docs-and-validation","DEC-010","更新用户和开发者文档入口","让 README、doc 目录和模块 README 都能指向当前解耦边界与任务台账","done","wxyhgk","P2","DEC-001","根 README 只保留导航；模块 README 写稳定边界；CSV 每个 done 任务都有 completion_notes","README.md; doc/README.md; backend/scripts/runtime/pipeline/README.md","根 README 与 doc/README 已补 Pipeline 阶段契约、Rust API 任务生命周期、产物清单与下载、架构解耦任务台账入口；模块 README 保留稳定边界与专项回归命令；CSV 已补全部 done 项 completion_notes。","2026-04-11"
