id,status,task,files,verify
F01,done,修正状态卡 OCR 视觉阶段和上传动画，避免 OCR 子状态串到翻译阶段,"src/js/components/status/job-status-card.js;src/js/job-stage-presentation.js;src/js/job-status-summary.js","node --check src/js/components/status/job-status-card.js; node --check src/js/job-stage-presentation.js; node --check src/js/job-status-summary.js"
F02,done,补齐 OCR 页码和进度条兜底，让第 0/100 页这类场景不会只动条不动字,"src/js/job-status-summary.js;scripts/status-presentation-smoke.mjs","node scripts/status-presentation-smoke.mjs"
F03,done,拆清翻译阶段跨栏/跨页、页面策略、翻译批次、乱码修复的展示顺序,"src/js/components/status/job-status-card.js;src/js/job-status-summary.js","node scripts/status-presentation-smoke.mjs"
F04,done,统一状态卡各阶段高度与黑白样式，保证不同阶段的 class=status-focus-card 高度一致,"src/styles/status-card.css;src/js/components/status/job-status-card.js","node --check src/js/components/status/job-status-card.js; npm --prefix ../desktop run sync-frontend"
F05,done,调整状态头部布局，取消按钮在左、主页按钮在右、中间显示时间，并移除无用停止按钮,"src/js/components/status/job-status-card.js;src/styles/status-card.css;src/js/features/job-runtime/controller.js","node --check src/js/components/status/job-status-card.js; npm --prefix ../desktop run sync-frontend"
F06,done,把完成阶段的对照阅读和下载 PDF 挪到状态卡底部，并收紧中间文字信息,"src/js/components/status/job-status-card.js;src/styles/status-card.css","node --check src/js/components/status/job-status-card.js; npm --prefix ../desktop run sync-frontend"
F07,done,让 OCR、翻译、渲染、完成四个阶段都可以点击回看，保留后续扩展翻译选项的入口,"src/js/components/status/job-status-card.js;src/js/job-stage-presentation.js","node --check src/js/components/status/job-status-card.js; npm --prefix ../desktop run sync-frontend"
F08,done,用状态预览和真实 smoke 复核所有阶段展示，确保页码、进度条和动画都出现在正确阶段,"scripts/frontend-status-smoke.mjs;scripts/status-presentation-smoke.mjs","node scripts/status-presentation-smoke.mjs; node scripts/frontend-status-smoke.mjs"
F09,done,拆分最近任务弹窗 controller/view 边界，controller 不再直接开关弹窗、读写日期输入或绑定列表 DOM,"src/js/features/recent-jobs/controller.js;src/js/features/recent-jobs/view.js;src/js/components/dialogs/recent-jobs-dialog.js","node --check src/js/features/recent-jobs/controller.js; node --check src/js/features/recent-jobs/view.js; node --check src/js/components/dialogs/recent-jobs-dialog.js"
F10,done,拆分对照阅读弹窗 view 层，封装 loading、iframe、toolbar、下载按钮和打开关闭逻辑,"src/js/features/reader-dialog/controller.js;src/js/features/reader-dialog/view.js","node --check src/js/features/reader-dialog/controller.js; node --check src/js/features/reader-dialog/view.js"
F11,done,收紧 job-runtime 与 app-shell 边界，把运行时复位中的弹窗关闭、事件列表清空和按钮禁用挪到 view 层,"src/js/features/job-runtime/controller.js;src/js/features/job-runtime/runtime-reset.js;src/js/features/app-shell/view.js","node --check src/js/features/job-runtime/controller.js; node --check src/js/features/job-runtime/runtime-reset.js; node --check src/js/features/app-shell/view.js"
F12,done,拆分状态详情 presentation/view，把详情弹窗 fallback DOM 渲染迁入 status-detail view,"src/js/status-detail-presentation.js;src/js/features/status-detail/view.js","node --check src/js/status-detail-presentation.js; node --check src/js/features/status-detail/view.js"
F13,done,拆分 job-ui-actions 的 DOM 更新层，保留动作可用性决策和上传状态复位入口,"src/js/job-ui-actions.js;src/js/job-ui-actions-view.js","node --check src/js/job-ui-actions.js; node --check src/js/job-ui-actions-view.js"
F14,done,拆分 ui-presentation 的状态卡和 shell fallback view，renderJob 保留为数据装配层,"src/js/ui-presentation.js;src/js/ui-presentation-view.js","node --check src/js/ui-presentation.js; node --check src/js/ui-presentation-view.js"
F15,done,拆分 main.js 的事件绑定，把页面 DOM 事件集中迁入 main-events.js,"src/js/main.js;src/js/main-events.js","node --check src/js/main.js; node --check src/js/main-events.js"
F16,done,拆分 main.js 的启动路由与最近任务初始化，把 startup 逻辑迁入 main-startup.js,"src/js/main.js;src/js/main-startup.js","node --check src/js/main.js; node --check src/js/main-startup.js"
F17,done,拆分 reader.js 的基础 view 操作，把启动 loading、进度条、页码和 empty 状态迁入 reader-view.js,"src/js/reader.js;src/js/reader-view.js","node --check src/js/reader.js; node --check src/js/reader-view.js"
F18,done,拆分 reader.js 的 PDF viewer 控制，把 PDF.js 加载、viewer controller 和缩放逻辑迁入 reader-pdf.js,"src/js/reader.js;src/js/reader-pdf.js","node --check src/js/reader.js; node --check src/js/reader-pdf.js"
