section,path,line,target,snippet,comment_flag,action,classification
UI -> Vietnamese,frontend/src/pages/home/components/InlineErrorBox.tsx,48,Vietnamese,<summary>查看诊断</summary>,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/entry.tsx,40,Vietnamese,{/* 装饰舞台：无 decorPack 的主题渲染 null，零开销（docs/theme-system/DECOR_PACKS.md） */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/credentials/CredentialsDialog.tsx,105,Vietnamese,{/* 表单主体抽到 CredentialsWorkbench（与 SettingsHubDialog API 区,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/credentials/CredentialsDialog.tsx,106,Vietnamese,共用同一实现），本弹窗只剩首次配置门（setupMode）一个场景。 */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/credentials/CredentialsWorkbench.tsx,87,Vietnamese,{/* 不套 TabsPrimitive.Content 的理由见 CredentialsDialog 原注释：,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/credentials/CredentialsWorkbench.tsx,88,Vietnamese,TaskOptionsPanel 自带 role=tabpanel，再包一层语义重复 */},False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/credentials/TaskOptionsPanel.tsx,40,Vietnamese,"{/* 模型地址/模型名不在旧模板可见布局里,但 dialog-values.js/",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/credentials/TaskOptionsPanel.tsx,41,Vietnamese,"dialog-sync.js 仍读写这两个字段——保留隐藏字段契约,不新增可见 UI。 */}",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/credentials/credentials-view-store.ts,209,Vietnamese,return true; // browser.js 依赖真值判断继续 refreshSubmitControls&#40;&#41;,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/glossaries/GlossaryImportPanel.tsx,18,Vietnamese,"<button id={GLOSSARY_DOM_IDS.importApplyButton} type=""button"" className=""app-button"" onClick={onApply}>解析</button>",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/glossaries/glossaries-store.ts,131,Vietnamese,name: `${draft.name \,False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/home-ask/HomeAskComposer.tsx,233,Vietnamese,{/* 锁定层：挡住一切输入（比仅 disabled 更稳） */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/home-ask/HomeAskSidebar.tsx,134,Vietnamese,"title=""新对话""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/home-ask/HomeAskSidebar.tsx,164,Vietnamese,"title=""新对话""",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/library/actions/read.ts,34,Vietnamese,"label = ""读原文"";",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/library/detail/shell/BookDetailShell.tsx,61,Vietnamese,{/* pr-10：给右上角关闭钮留空，避免 tab 顶到 × */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/library/display/library-card-badge.ts,49,Vietnamese,"label: ""已翻译"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/library/display/library-card-badge.ts,63,Vietnamese,"label: ""已翻译"",",False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/library/page/LibraryBatchToolbar.tsx,55,Vietnamese,"<div className=""library-search-dock"" aria-label=""批量操作工具栏"">",False,translate,ui_text
UI -> Vietnamese,frontend/src/pages/home/features/library/page/LibraryTopTabs.tsx,75,Vietnamese,{/* 装饰钩子：默认无样式零渲染，皮肤可在 CSS 里给 tab 贴图换装 */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/library/shell/BookCard.tsx,295,Vietnamese,{/* 进行中：封面中央 loading，不在右上角写 OCR/翻译/渲染（易截断） */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/library/shell/BookCard.tsx,298,Vietnamese,{/* 右上角终态/馆藏：禁止 truncate/flex 收缩，否则「已翻译」会被裁成省略号 */},False,review,manual
UI -> Vietnamese,frontend/src/pages/home/features/settings/SettingsHubDialog.tsx,190,Vietnamese,{/* 凭据工作台直接内嵌（无二层弹窗）；与首次配置门共用,False,review,manual
